file,start_s,channel,best_lag_samples,correlation
raw_4ch_1786194763609.wav,0.0,1,-3,0.8296273974663909
raw_4ch_1786194763609.wav,0.0,2,-1,0.8850284385753716
raw_4ch_1786194763609.wav,0.0,3,-1,0.8494260355118055
raw_4ch_1786194763609.wav,10.0,1,-3,0.907934780127293
raw_4ch_1786194763609.wav,10.0,2,-1,0.9412273104154986
raw_4ch_1786194763609.wav,10.0,3,1,0.9182164503981212
raw_4ch_1786194763609.wav,20.0,1,-3,0.8884786677239769
raw_4ch_1786194763609.wav,20.0,2,-1,0.9339075164683259
raw_4ch_1786194763609.wav,20.0,3,1,0.9052165691267756
raw_4ch_1786194763609.wav,30.0,1,-1,0.44132690362572513
raw_4ch_1786194763609.wav,30.0,2,1,0.6071372672499626
raw_4ch_1786194763609.wav,30.0,3,3,0.5133253422330258
raw_4ch_1786194763609.wav,40.0,1,-3,0.8055704158567645
raw_4ch_1786194763609.wav,40.0,2,-1,0.8778177362480966
raw_4ch_1786194763609.wav,40.0,3,0,0.8469423169848809
raw_4ch_1786194763609.wav,50.0,1,-3,0.8868399756665869
raw_4ch_1786194763609.wav,50.0,2,-1,0.9383722205020306
raw_4ch_1786194763609.wav,50.0,3,1,0.9139640516194028
raw_4ch_1786194763609.wav,60.0,1,-1,0.8817848347585633
raw_4ch_1786194763609.wav,60.0,2,-1,0.9324651832856358
raw_4ch_1786194763609.wav,60.0,3,1,0.90528338652387
raw_4ch_1786194763609.wav,70.0,1,-1,0.867317184603129
raw_4ch_1786194763609.wav,70.0,2,-1,0.9063497066527751
raw_4ch_1786194763609.wav,70.0,3,1,0.8825699619120768
raw_4ch_1786194763609.wav,80.0,1,-1,0.8940320522737417
raw_4ch_1786194763609.wav,80.0,2,-1,0.8948141204588358
raw_4ch_1786194763609.wav,80.0,3,1,0.896387366296319
raw_4ch_1786194763609.wav,90.0,1,-1,0.8673208367195193
raw_4ch_1786194763609.wav,90.0,2,-1,0.9151744119607486
raw_4ch_1786194763609.wav,90.0,3,1,0.8900297090514906
raw_4ch_1786194763609.wav,100.0,1,-1,0.8350579220326809
raw_4ch_1786194763609.wav,100.0,2,-1,0.8903919647152438
raw_4ch_1786194763609.wav,100.0,3,1,0.8635611846422125
raw_4ch_1786194763609.wav,110.0,1,-1,0.8183904926723602
raw_4ch_1786194763609.wav,110.0,2,-1,0.86299901867395
raw_4ch_1786194763609.wav,110.0,3,1,0.8389953054975677
raw_4ch_1786194763609.wav,120.0,1,-1,0.4758944269837277
raw_4ch_1786194763609.wav,120.0,2,1,0.5869695538379015
raw_4ch_1786194763609.wav,120.0,3,3,0.49589910621643396
raw_4ch_1786194763609.wav,130.0,1,-1,0.4702331246979323
raw_4ch_1786194763609.wav,130.0,2,-1,0.5641398045158678
raw_4ch_1786194763609.wav,130.0,3,1,0.4993360901556462
raw_4ch_1786194763609.wav,140.0,1,-3,0.48524528639517067
raw_4ch_1786194763609.wav,140.0,2,-1,0.5722978397556316
raw_4ch_1786194763609.wav,140.0,3,1,0.5288175484228744
raw_4ch_1786194763609.wav,150.0,1,-1,0.867250576900302
raw_4ch_1786194763609.wav,150.0,2,-1,0.9438116396357825
raw_4ch_1786194763609.wav,150.0,3,1,0.9102079873926716
raw_4ch_1786194763609.wav,160.0,1,-1,0.7934984009528735
raw_4ch_1786194763609.wav,160.0,2,-1,0.8902890400415809
raw_4ch_1786194763609.wav,160.0,3,1,0.8398865066157126
raw_4ch_1786194763609.wav,170.0,1,-1,0.8446417238296298
raw_4ch_1786194763609.wav,170.0,2,-1,0.9135588245495431
raw_4ch_1786194763609.wav,170.0,3,1,0.8831161675629945
raw_4ch_1786194763609.wav,180.0,1,-1,0.48915616745093293
raw_4ch_1786194763609.wav,180.0,2,1,0.6184123087379114
raw_4ch_1786194763609.wav,180.0,3,3,0.5340252724307327
raw_4ch_1786194978795.wav,0.0,1,-1,0.5060662767401563
raw_4ch_1786194978795.wav,0.0,2,1,0.5536698889834872
raw_4ch_1786194978795.wav,0.0,3,5,0.5336580550146957
raw_4ch_1786194978795.wav,10.0,1,-1,0.8343382043085557
raw_4ch_1786194978795.wav,10.0,2,-1,0.9319367616853196
raw_4ch_1786194978795.wav,10.0,3,3,0.8233443760513798
raw_4ch_1786194978795.wav,20.0,1,-3,0.8196345346031881
raw_4ch_1786194978795.wav,20.0,2,-1,0.9222983294294872
raw_4ch_1786194978795.wav,20.0,3,1,0.8166558534680287
raw_4ch_1786194978795.wav,30.0,1,-3,0.8392579322861489
raw_4ch_1786194978795.wav,30.0,2,0,0.9513153770595497
raw_4ch_1786194978795.wav,30.0,3,-1,0.8264644618464256
raw_4ch_1786194978795.wav,40.0,1,-3,0.806454982304879
raw_4ch_1786194978795.wav,40.0,2,0,0.954270152969646
raw_4ch_1786194978795.wav,40.0,3,0,0.814092514297523
raw_4ch_1786194978795.wav,50.0,1,-1,0.8073181076650255
