frontend,mode,phase,command_total,detected,median_stable_partial_ms
hpf80_mix123,clean_continuous,0-5,0,0,
hpf80_mix123,clean_continuous,5-20,8,8,550.0000000000007
hpf80_mix123,clean_continuous,after-20,76,75,489.9999999999949
hpf80_mix123,production_like,0-5,0,0,
hpf80_mix123,production_like,5-20,8,7,589.9999999999999
hpf80_mix123,production_like,after-20,76,73,490.0000000000091
legacy_reference,clean_continuous,0-5,0,0,
legacy_reference,clean_continuous,5-20,8,7,550.0000000000007
legacy_reference,clean_continuous,after-20,76,74,490.00000000000557
legacy_reference,production_like,0-5,0,0,
legacy_reference,production_like,5-20,8,8,650.0000000000003
legacy_reference,production_like,after-20,76,74,489.9999999999878
raw_ch3,clean_continuous,0-5,0,0,
raw_ch3,clean_continuous,5-20,8,7,550.0000000000007
raw_ch3,clean_continuous,after-20,76,75,489.9999999999949
raw_ch3,production_like,0-5,0,0,
raw_ch3,production_like,5-20,8,7,589.9999999999999
raw_ch3,production_like,after-20,76,74,449.9999999999975
raw_mix123,clean_continuous,0-5,0,0,
raw_mix123,clean_continuous,5-20,8,8,560.0000000000005
raw_mix123,clean_continuous,after-20,76,74,490.0000000000002
raw_mix123,production_like,0-5,0,0,
raw_mix123,production_like,5-20,8,7,589.9999999999999
raw_mix123,production_like,after-20,76,74,490.0000000000091
webrtc_moderate,clean_continuous,0-5,0,0,
webrtc_moderate,clean_continuous,5-20,8,7,550.0000000000007
webrtc_moderate,clean_continuous,after-20,76,74,450.00000000000995
webrtc_moderate,production_like,0-5,0,0,
webrtc_moderate,production_like,5-20,8,7,589.9999999999999
webrtc_moderate,production_like,after-20,76,74,489.9999999999949
