frontend,mode,keyword,total,detected
hpf80_mix123,clean_continuous,безалкогольное,1,1
hpf80_mix123,clean_continuous,белый,3,3
hpf80_mix123,clean_continuous,вверх,14,14
hpf80_mix123,clean_continuous,вниз,13,13
hpf80_mix123,clean_continuous,доступность,8,8
hpf80_mix123,clean_continuous,жёлтый,14,14
hpf80_mix123,clean_continuous,источник,1,1
hpf80_mix123,clean_continuous,коровка,8,7
hpf80_mix123,clean_continuous,мобильный,1,1
hpf80_mix123,clean_continuous,молочная,2,2
hpf80_mix123,clean_continuous,назад,10,10
hpf80_mix123,clean_continuous,напитки,1,1
hpf80_mix123,clean_continuous,печать,4,4
hpf80_mix123,clean_continuous,святой,1,1
hpf80_mix123,clean_continuous,список,3,3
hpf80_mix123,production_like,безалкогольное,1,1
hpf80_mix123,production_like,белый,3,3
hpf80_mix123,production_like,вверх,14,12
hpf80_mix123,production_like,вниз,13,13
hpf80_mix123,production_like,доступность,8,8
hpf80_mix123,production_like,жёлтый,14,14
hpf80_mix123,production_like,источник,1,0
hpf80_mix123,production_like,коровка,8,7
hpf80_mix123,production_like,мобильный,1,1
hpf80_mix123,production_like,молочная,2,2
hpf80_mix123,production_like,назад,10,10
hpf80_mix123,production_like,напитки,1,1
hpf80_mix123,production_like,печать,4,4
hpf80_mix123,production_like,святой,1,1
hpf80_mix123,production_like,список,3,3
legacy_reference,clean_continuous,безалкогольное,1,1
legacy_reference,clean_continuous,белый,3,3
legacy_reference,clean_continuous,вверх,14,12
legacy_reference,clean_continuous,вниз,13,13
legacy_reference,clean_continuous,доступность,8,8
legacy_reference,clean_continuous,жёлтый,14,14
legacy_reference,clean_continuous,источник,1,1
legacy_reference,clean_continuous,коровка,8,7
legacy_reference,clean_continuous,мобильный,1,1
legacy_reference,clean_continuous,молочная,2,2
legacy_reference,clean_continuous,назад,10,10
legacy_reference,clean_continuous,напитки,1,1
legacy_reference,clean_continuous,печать,4,4
legacy_reference,clean_continuous,святой,1,1
legacy_reference,clean_continuous,список,3,3
legacy_reference,production_like,безалкогольное,1,1
legacy_reference,production_like,белый,3,3
legacy_reference,production_like,вверх,14,14
legacy_reference,production_like,вниз,13,12
legacy_reference,production_like,доступность,8,8
legacy_reference,production_like,жёлтый,14,14
legacy_reference,production_like,источник,1,1
legacy_reference,production_like,коровка,8,7
legacy_reference,production_like,мобильный,1,1
legacy_reference,production_like,молочная,2,2
legacy_reference,production_like,назад,10,10
legacy_reference,production_like,напитки,1,1
legacy_reference,production_like,печать,4,4
legacy_reference,production_like,святой,1,1
legacy_reference,production_like,список,3,3
raw_ch3,clean_continuous,безалкогольное,1,1
raw_ch3,clean_continuous,белый,3,3
raw_ch3,clean_continuous,вверх,14,13
raw_ch3,clean_continuous,вниз,13,13
raw_ch3,clean_continuous,доступность,8,8
raw_ch3,clean_continuous,жёлтый,14,14
raw_ch3,clean_continuous,источник,1,1
raw_ch3,clean_continuous,коровка,8,7
raw_ch3,clean_continuous,мобильный,1,1
raw_ch3,clean_continuous,молочная,2,2
raw_ch3,clean_continuous,назад,10,10
raw_ch3,clean_continuous,напитки,1,1
raw_ch3,clean_continuous,печать,4,4
raw_ch3,clean_continuous,святой,1,1
raw_ch3,clean_continuous,список,3,3
raw_ch3,production_like,безалкогольное,1,1
raw_ch3,production_like,белый,3,3
raw_ch3,production_like,вверх,14,12
raw_ch3,production_like,вниз,13,13
raw_ch3,production_like,доступность,8,8
raw_ch3,production_like,жёлтый,14,14
raw_ch3,production_like,источник,1,1
raw_ch3,production_like,коровка,8,7
raw_ch3,production_like,мобильный,1,1
raw_ch3,production_like,молочная,2,2
raw_ch3,production_like,назад,10,10
raw_ch3,production_like,напитки,1,1
raw_ch3,production_like,печать,4,4
raw_ch3,production_like,святой,1,1
raw_ch3,production_like,список,3,3
raw_mix123,clean_continuous,безалкогольное,1,1
raw_mix123,clean_continuous,белый,3,3
raw_mix123,clean_continuous,вверх,14,13
raw_mix123,clean_continuous,вниз,13,13
raw_mix123,clean_continuous,доступность,8,8
raw_mix123,clean_continuous,жёлтый,14,14
raw_mix123,clean_continuous,источник,1,1
