candidate,mode,metric,paired_count,median_delta_ms,p90_delta_ms,bootstrap_ci95_low_ms,bootstrap_ci95_high_ms
hpf80_mix123,clean_continuous,first_partial_latency_ms,81,0.0,0.0,0.0,0.0
hpf80_mix123,clean_continuous,stable_partial_latency_ms,81,0.0,0.0,0.0,0.0
hpf80_mix123,clean_continuous,endpoint_latency_ms,49,0.0,0.0,0.0,0.0
hpf80_mix123,production_like,first_partial_latency_ms,79,-39.99999999999915,199.99999999999994,-40.00000000000267,-39.99999999999204
hpf80_mix123,production_like,stable_partial_latency_ms,72,-39.99999999999912,199.99999999999895,-39.999999999999204,-39.99999999999204
hpf80_mix123,production_like,endpoint_latency_ms,54,-39.99999999999912,159.9999999999966,-40.00000000000267,-39.99999999999204
raw_ch3,clean_continuous,first_partial_latency_ms,81,0.0,0.0,0.0,0.0
raw_ch3,clean_continuous,stable_partial_latency_ms,81,0.0,0.0,0.0,0.0
raw_ch3,clean_continuous,endpoint_latency_ms,47,0.0,0.0,0.0,0.0
raw_ch3,production_like,first_partial_latency_ms,80,-39.99999999999915,162.00000000000347,-40.00000000000446,-39.99999999999909
raw_ch3,production_like,stable_partial_latency_ms,72,-39.99999999999915,154.00000000000267,-40.00000000000094,-39.99999999999204
raw_ch3,production_like,endpoint_latency_ms,52,-39.99999999999912,195.99999999998937,-40.000000000002615,-39.99999999999204
raw_mix123,clean_continuous,first_partial_latency_ms,81,0.0,0.0,0.0,0.0
raw_mix123,clean_continuous,stable_partial_latency_ms,81,0.0,0.0,0.0,0.0
raw_mix123,clean_continuous,endpoint_latency_ms,48,0.0,0.0,0.0,0.0
raw_mix123,production_like,first_partial_latency_ms,80,-39.99999999999915,199.99999999999966,-40.00000000000273,-39.99999999999204
raw_mix123,production_like,stable_partial_latency_ms,73,-39.99999999999909,199.99999999999932,-39.999999999999204,-39.99999999999204
raw_mix123,production_like,endpoint_latency_ms,55,-39.99999999999915,159.9999999999966,-40.00000000000273,-39.99999999999204
webrtc_moderate,clean_continuous,first_partial_latency_ms,81,0.0,0.0,0.0,0.0
webrtc_moderate,clean_continuous,stable_partial_latency_ms,81,0.0,0.0,0.0,0.0
webrtc_moderate,clean_continuous,endpoint_latency_ms,46,0.0,0.0,0.0,0.0
webrtc_moderate,production_like,first_partial_latency_ms,80,0.0,142.00000000000105,0.0,0.0
webrtc_moderate,production_like,stable_partial_latency_ms,71,0.0,140.00000000000057,0.0,0.0
webrtc_moderate,production_like,endpoint_latency_ms,53,0.0,155.99999999999747,0.0,0.0
