frontend,mode,median_first_partial_latency_ms,median_stable_partial_latency_ms,median_endpoint_latency_ms,p90_first_partial_latency_ms,p90_stable_partial_latency_ms,p90_endpoint_latency_ms
hpf80_mix123,clean_continuous,340.0000000000034,490.000000000002,899.9999999999986,479.99999999999545,629.9999999999955,980.0000000000153
hpf80_mix123,production_like,340.0000000000034,509.999999999998,879.999999999999,501.9999999999998,650.0000000000057,960.0000000000073
legacy_reference,clean_continuous,359.9999999999852,509.9999999999909,899.9999999999986,480.000000000004,630.0000000000025,980.0000000000182
legacy_reference,production_like,339.99999999999807,489.99999999999665,840.0000000000034,538.0000000000003,680.0000000000068,960.0000000000073
raw_ch3,clean_continuous,339.9999999999999,489.9999999999984,899.9999999999986,479.99999999999613,629.9999999999955,980.000000000004
raw_ch3,production_like,300.0000000000007,469.99999999999886,880.0000000000239,500.0,650.0000000000057,960.000000000008
raw_mix123,clean_continuous,349.9999999999943,500.0,909.9999999999984,480.0000000000033,630.0000000000018,980.0000000000182
raw_mix123,production_like,340.0000000000034,509.999999999998,879.999999999999,500.0,650.0000000000057,960.0000000000059
webrtc_moderate,clean_continuous,339.9999999999963,489.9999999999949,920.0000000000017,479.9999999999969,629.9999999999955,980.0000000000182
webrtc_moderate,production_like,339.9999999999999,490.00000000000557,880.0000000000025,520.0000000000102,670.0000000000002,980.0000000000011
