segment_id,recording,mode,start_s,end_s,duration_s,baseline_endpoint_text,low_endpoint_text,moderate_endpoint_text,baseline_partial_summary,low_partial_summary,moderate_partial_summary,baseline_endpoint_count,low_endpoint_count,moderate_endpoint_count,contains_keyword_candidate,known_sequence_hint,expected_type,expected_text,label_confidence,notes
seg_1786194763609_001_command_menu,1786194763609,command_menu,9.820,13.820,4.000,вниз вниз,,,вниз -> вниз вниз,,,1,0,0,вниз,вниз/вверх; печать; белый; назад; жёлтый; доступность; список; напитки,unlabeled,,,
seg_1786194763609_002_command_menu,1786194763609,command_menu,15.580,19.580,4.000,вверх вверх вверх | вниз,вверх | вниз,вверх | вниз,вверх -> вверх вверх -> вверх вверх вверх -> вниз,доступность -> вверх,доступность -> вверх -> вниз,2,2,2,доступн;вверх;вниз,вниз/вверх; печать; белый; назад; жёлтый; доступность; список; напитки,unlabeled,,,
seg_1786194763609_003_command_menu,1786194763609,command_menu,19.580,20.420,0.840,вверх вверх вверх,вверх | вниз,вверх | вниз,вверх -> вверх вверх -> вверх вверх вверх,доступность -> вверх,доступность -> вверх -> вниз,1,2,2,доступн;вверх;вниз,вниз/вверх; печать; белый; назад; жёлтый; доступность; список; напитки,unlabeled,,,
seg_1786194763609_004_command_menu,1786194763609,command_menu,24.700,28.700,4.000,вниз вниз вниз | вниз,вниз вниз вниз | вверх вниз печать,вниз вниз вниз | вверх вниз печать,вниз -> вниз вниз -> вниз вниз доступность -> вниз вниз вниз -> доступность -> вверх -> вниз печать,вниз -> вниз вниз -> вниз вниз вниз -> вверх -> вверх вниз -> вверх вниз печать,вниз -> вниз вниз -> вниз вниз вниз -> вверх -> вверх вниз -> вверх вниз печать,2,2,2,доступн;вверх;вниз;печать,вниз/вверх; печать; белый; назад; жёлтый; доступность; список; напитки,unlabeled,,,
seg_1786194763609_005_command_menu,1786194763609,command_menu,28.700,29.540,0.840,вниз вниз вниз | вниз,вниз вниз вниз | вверх вниз печать,вниз вниз вниз | вверх вниз печать,вниз -> вниз вниз -> вниз вниз доступность -> вниз вниз вниз -> доступность -> вверх -> вниз печать,вниз -> вниз вниз -> вниз вниз вниз -> вверх -> вверх вниз -> вверх вниз печать,вниз -> вниз вниз -> вниз вниз вниз -> вверх -> вверх вниз -> вверх вниз печать,2,2,2,доступн;вверх;вниз;печать,вниз/вверх; печать; белый; назад; жёлтый; доступность; список; напитки,unlabeled,,,
seg_1786194763609_006_command_menu,1786194763609,command_menu,48.700,52.700,4.000,вниз вниз вниз,вверх | вниз | вниз,вверх | вниз вниз вниз,вниз -> вниз вниз -> вниз вниз вниз,вверх -> вниз -> вниз вниз,вверх -> вниз -> вниз вниз -> вниз вниз вниз,1,3,2,вверх;вниз,вниз/вверх; печать; белый; назад; жёлтый; доступность; список; напитки,unlabeled,,,
seg_1786194763609_007_command_menu,1786194763609,command_menu,52.700,54.500,1.800,вниз вниз вниз,вниз,вниз вниз вниз,вниз -> вниз вниз -> вниз вниз вниз,вниз,вниз -> вниз вниз -> вниз вниз вниз,1,1,1,вниз,вниз/вверх; печать; белый; назад; жёлтый; доступность; список; напитки,unlabeled,,,
seg_1786194763609_008_command_menu,1786194763609,command_menu,107.260,111.260,4.000,доступность | доступность,доступность,доступность,настройки -> доступность,доступность,доступность,2,1,1,доступн,вниз/вверх; печать; белый; назад; жёлтый; доступность; список; напитки,unlabeled,,,
seg_1786194763609_009_command_menu,1786194763609,command_menu,111.260,113.060,1.800,доступность,,,настройки -> доступность,,,1,0,0,доступн,вниз/вверх; печать; белый; назад; жёлтый; доступность; список; напитки,unlabeled,,,
seg_1786194763609_010_free_text,1786194763609,free_text,8.780,12.780,4.000,вниз,быть,мыса,не,,мыса,1,1,1,вниз,вниз/вверх; печать; белый; назад; жёлтый; доступность; список; напитки,unlabeled,,,
