recording,variant,samples,duration_s,rms,peak,peak_dbfs,dc_offset,clipped_samples,sha256
1786194763609,baseline,2899968,181.248,0.009554207273728629,6756,-13.715205881214938,3.855675458908081e-07,0,1ebc598692169298b49b9152d40da3dbfbbaa602d63b2182ce437f736a57afeb
1786194763609,webrtc_ns_low,2899968,181.248,0.009360236042905907,6757,-13.713920320694857,-3.649626916411233e-07,0,b8332a310a2201817958b0aac42bd83cd8be8be7c5e2a5da4a0f38974954d09b
1786194763609,webrtc_ns_moderate,2899968,181.248,0.00945729415004971,6796,-13.6639312952542,-3.9481763112342966e-07,0,7d4112431c9d71628a004c08a4061a532b181a90653cd7d328bb7362d5f18924
1786194763609,webrtc_ns_high,2899968,181.248,0.00944296996664391,6800,-13.658820445069633,-4.809518150017086e-07,0,1062cbeaaabc4b8f48d7072f27030fabacb5dc6a437b3681dac4f77cce9cd6fd
1786194763609,webrtc_ns_very_high,2899968,181.248,0.009430386259447743,6803,-13.65498927998301,-5.465232383059917e-07,0,f93f9886872ba0f928e79296b7483dbc8e5e7e93fa2b905c3362da1337fe69aa
1786194978795,baseline,2785280,174.08,0.024922267873041398,16427,-5.997833556371116,-2.811388934359831e-07,0,8a233c4be922db12d9376547850bac10ef463c4b18a116812b719477502929a4
1786194978795,webrtc_ns_low,2785280,174.08,0.02370533897916164,15999,-6.227141931143577,-1.4276079395238092e-06,0,026098c548a793a8510ecb6513ae841a3494eadf526aa6fd2d2424966fcdb368
1786194978795,webrtc_ns_moderate,2785280,174.08,0.0243314949111982,16139,-6.151466267354912,-1.3341360232409309e-06,0,5fed33b0e8c371fca8e85bbd0718ea2dcffacc841b0703831a8a59deaf861f4b
1786194978795,webrtc_ns_high,2785280,174.08,0.024228633244449318,16084,-6.1811174105768885,-1.3842630912275875e-06,0,c552145ed3722a4e120822d82ccee552e56418ba4a857904126fa24d4057d0ca
1786194978795,webrtc_ns_very_high,2785280,174.08,0.024128063224890126,16028,-6.211412023981115,-1.572675126440385e-06,0,51ae3ccc95f69915256b456521356103ea18b81efe7f330695a8edf0239384fe
